"anno","provincia","mese","macro_tipologia","macro_provenienza","provenienza","arrivi","presenze"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Polonia","4","12"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Polonia","4","43"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Repubblica Ceca","7","90"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Repubblica Ceca","2","4"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Repubblica Ceca","1","2"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Ungheria","4","10"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Ungheria","3","7"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Ungheria","1","2"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Romania","11","69"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Romania","7","75"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Romania","14","30"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Bulgaria","1","87"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Ucraina","12","14"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Ucraina","1","25"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Russia","1","1"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Russia","4","6"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Russia","1","18"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Slovenia","2","3"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Croazia","5","92"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Croazia","12","17"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Altri Paesi Europei","13","21"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Altri Paesi Europei","2","6"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Altri Paesi Europei","1","4"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Egitto","1","4"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Altri Paesi Africa Mediterranea","5","19"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Altri Paesi dell'Africa","6","16"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Altri Paesi dell'Africa","1","10"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Stati Uniti d'America","1","1"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Stati Uniti d'America","12","22"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Canada","1","1"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Messico","1","1"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Venezuela","1","1"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Brasile","11","44"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Brasile","1","2"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Argentina","3","16"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Altri Paesi Centro - Sud America","1","1"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Altri Paesi Centro - Sud America","2","4"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Altri Paesi Centro - Sud America","3","8"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Israele","1","1"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","India","7","15"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","India","1","1"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","India","1","1"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Cina","3","4"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Giappone","1","2"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Altri Paesi Asia Occidentale",,"2"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Altri Paesi dell'Asia","12","32"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Australia","1","1"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Nuova Zelanda","1","1"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Piemonte","29","78"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Piemonte","268","597"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Piemonte","12","53"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Valle d'Aosta",,"5"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Valle d'Aosta","4","8"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Lombardia","69","280"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Lombardia","30","127"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Lombardia","798","1604"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Veneto","7","54"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Veneto","250","523"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Veneto","6","37"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Friuli-Venezia Giulia","1","2"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Friuli-Venezia Giulia","45","145"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Liguria","153","385"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Liguria","2","68"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Liguria","10","25"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Emilia Romagna","9","48"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Emilia Romagna","297","640"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Emilia Romagna","15","85"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Toscana","16","334"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Toscana","12","137"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Toscana","221","447"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Umbria","45","75"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Umbria","4","18"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Umbria","1","3"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Marche","50","118"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Marche","2","3"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Marche","3","7"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Lazio","860","1580"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Lazio","25","144"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Lazio","77","191"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Abruzzo","5","18"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Abruzzo","74","146"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Abruzzo","6","51"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Molise","10","26"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Molise","1","2"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Campania","25","61"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Campania","257","503"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Campania","19","139"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Puglia","178","550"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Puglia","11","49"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Puglia","13","86"
"2021","Città metropolitana Cagliari","2","Alberghiero","Italiani","Basilicata","19","58"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Italiani","Basilicata","1","3"
